Organization,Signal_Role,Location,Primary_EHR,Primary_EHR_Placeholder,Hiring_Density,Qualification_Score,Denial_Signals,Job_Link,Detected_At,Status
Mile Bluff Medical Center,Denial Management Specialist,"Mauston, WI",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials",https://www.linkedin.com/jobs/view/denial-management-specialist-at-mile-bluff-medical-center-4428680691?position=1&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=VC%2BUmBvLVJRpBw0OnQ20eA%3D%3D,2026-06-22,QUALIFIED
United Surgical Partners International,Facility Appeals Denial Management Specialist,"Oklahoma City, OK",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/facility-appeals-denial-management-specialist-at-united-surgical-partners-international-inc-4419347776?position=2&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=NADdmjkRN4JiWfEilEcjhQ%3D%3D,2026-06-22,QUALIFIED
Northside Hospital,Denial Management Specialist- Physician,"Atlanta, GA",Unknown EHR,your current EHR,2,MEDIUM,"denial, appeal",https://www.linkedin.com/jobs/view/denial-management-specialist-physician-at-northside-hospital-4404887516?position=3&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=u7zhTp2SASImFaBpEWETrQ%3D%3D,2026-06-22,QUALIFIED
The Cardiac & Vascular Institute,AR Resolution Specialist Lead,"Gainesville, FL",Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, appeal",https://www.linkedin.com/jobs/view/ar-resolution-specialist-lead-at-the-cardiac-vascular-institute-4420602730?position=4&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=%2F28OLBbce2vtc66SKhivMw%3D%3D,2026-06-22,QUALIFIED
Atrium,Revenue Cycle Specialist,"Sandy Springs, GA",Unknown EHR,your current EHR,1,MEDIUM,"denial, denials, underpayment",https://www.linkedin.com/jobs/view/revenue-cycle-specialist-at-atrium-4427145609?position=5&pageNum=0&refId=YYXETN23lGW8yHvhiBbAng%3D%3D&trackingId=mZSOOOXzlGJA7eiPp%2BmiSA%3D%3D,2026-06-22,QUALIFIED
Gear,Junior Medical AR & Denial Management Specialist,"Muntinlupa City, National Capital Region, Philippines",Unknown EHR,your current EHR,1,MEDIUM,denial,https://ph.linkedin.com/jobs/view/junior-medical-ar-denial-management-specialist-at-gear-inc-4430571378?position=1&pageNum=0&refId=WBkCXtUVZ3lebJnKz5oUNA%3D%3D&trackingId=lJlfWluQrEYAOD%2BBkJVU7g%3D%3D,2026-06-22,QUALIFIED
Omada Health,Revenue Cycle Analyst,United States,Unknown EHR,your current EHR,2,MEDIUM,"denial, denials, underpayment",https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-omada-health-4417958755?position=1&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=7X7QqS8PFRaG1%2FdDfP%2BPhw%3D%3D,2026-06-22,QUALIFIED
Amazon,"Revenue Cycle Analyst I, Amazon One Medical",United States,Unknown EHR,your current EHR,4,MEDIUM,"denial, denials, accounts receivable",https://www.linkedin.com/jobs/view/revenue-cycle-analyst-i-amazon-one-medical-at-amazon-4413406964?position=2&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=3qhSbE964D%2FNcGmlijwitA%3D%3D,2026-06-22,QUALIFIED
Cedars-Sinai,Revenue Cycle Analyst (Remote),"Los Angeles, CA",Epic,Epic,2,HIGH,"denial, clearinghouse",https://www.linkedin.com/jobs/view/revenue-cycle-analyst-remote-at-cedars-sinai-4399503739?position=3&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=F7LgG7jq8LggzYcDjK%2FWKA%3D%3D,2026-06-22,QUALIFIED
Delphi-US - Peacemakers in the Talent War,Revenue Cycle Analyst,"Providence, RI",Unknown EHR,your current EHR,2,MEDIUM,denial,https://www.linkedin.com/jobs/view/revenue-cycle-analyst-at-delphi-us-llc-peacemakers-in-the-talent-war-4427759174?position=4&pageNum=0&refId=kCb4nfFk2onvwiKn1jsqCw%3D%3D&trackingId=8CrjyH%2BN%2FokGXXp519rX%2FA%3D%3D,2026-06-22,QUALIFIED
